question,answer,formatted_text,source
Kapan di ditulis terpisah dan kapan digabung?,"Kenapa dipukul ditulis serangkai tapi di atas dipisah? Kata depan di, ke, dan dari ditulis terpisah dari kata yang mengikutinya, kecuali dalam gabungan kata yang sudah dianggap sebagai satu kata seperti kepada dan daripada. Awalan di- dan ke- pada kata kerja ditulis serangkai.","Pertanyaan: Kapan di ditulis terpisah dan kapan digabung?
Jawaban: Kenapa dipukul ditulis serangkai tapi di atas dipisah? Kata depan di, ke, dan dari ditulis terpisah dari kata yang mengikutinya, kecuali dalam gabungan kata yang sudah dianggap sebagai satu kata seperti kepada dan daripada. Awalan di- dan ke- pada kata kerja ditulis serangkai.
Contoh Kesalahan: Saya pergi kesekolah. Buku itu diatas meja. Dia di pukul temannya.
Contoh Perbaikan: Saya pergi ke sekolah. Buku itu di atas meja. Dia dipukul temannya.",EYD V - Badan Bahasa Kemendikbudristek (ejaan.kemendikdasmen.go.id)
Apakah walaupun ditulis terpisah atau digabung?,"Bagaimana aturan penulisan partikel pun dan per? Partikel pun ditulis terpisah dari kata yang mendahuluinya, kecuali sebagai bentuk gabungan yang sudah dianggap padu seperti adapun, andaipun, ataupun, bagaimanapun, kalaupun. Partikel per yang berarti mulai, demi, atau tiap ditulis terpisah.","Pertanyaan: Apakah walaupun ditulis terpisah atau digabung?
Jawaban: Bagaimana aturan penulisan partikel pun dan per? Partikel pun ditulis terpisah dari kata yang mendahuluinya, kecuali sebagai bentuk gabungan yang sudah dianggap padu seperti adapun, andaipun, ataupun, bagaimanapun, kalaupun. Partikel per yang berarti mulai, demi, atau tiap ditulis terpisah.
Contoh Kesalahan: Apa pun, walau pun, Harga kain itu Rp50.000 per meter.
Contoh Perbaikan: Apa pun yang terjadi tetap kami hadapi. Walaupun lelah, dia tetap bekerja. Harga kain itu Rp50.000,00 per meter.",EYD V - Badan Bahasa Kemendikbudristek (ejaan.kemendikdasmen.go.id)
Bagaimana cara menulis kata serapan dari bahasa Inggris?,"Apakah penulisan sistim itu benar? Unsur serapan dari bahasa asing yang sudah diserap ke dalam bahasa Indonesia disesuaikan ejaannya, misalnya analysis menjadi analisis, system menjadi sistem, dan quality menjadi kualitas. Unsur yang belum sepenuhnya terserap ditulis dengan huruf miring sesuai bahasa aslinya.","Pertanyaan: Bagaimana cara menulis kata serapan dari bahasa Inggris?
Jawaban: Apakah penulisan sistim itu benar? Unsur serapan dari bahasa asing yang sudah diserap ke dalam bahasa Indonesia disesuaikan ejaannya, misalnya analysis menjadi analisis, system menjadi sistem, dan quality menjadi kualitas. Unsur yang belum sepenuhnya terserap ditulis dengan huruf miring sesuai bahasa aslinya.
Contoh Kesalahan: analysis, sistim, kwalitas
Contoh Perbaikan: analisis, sistem, kualitas",EYD V - Badan Bahasa Kemendikbudristek (ejaan.kemendikdasmen.go.id)
Apakah PT pakai titik?,"Bagaimana cara menulis gelar dengan tanda titik yang benar? Tanda titik dipakai pada akhir kalimat berita dan pada singkatan nama gelar, jabatan, pangkat, serta sapaan, misalnya Dr., S.H., M.Pd. Tanda titik tidak dipakai pada singkatan yang terdiri atas huruf awal kata yang ditulis dengan huruf kapital seperti PT, SMA, dan WHO.","Pertanyaan: Apakah PT pakai titik?
Jawaban: Bagaimana cara menulis gelar dengan tanda titik yang benar? Tanda titik dipakai pada akhir kalimat berita dan pada singkatan nama gelar, jabatan, pangkat, serta sapaan, misalnya Dr., S.H., M.Pd. Tanda titik tidak dipakai pada singkatan yang terdiri atas huruf awal kata yang ditulis dengan huruf kapital seperti PT, SMA, dan WHO.
Contoh Kesalahan: Beliau bergelar S H dan Dr.. Ia bekerja di PT. Sinar Jaya.
Contoh Perbaikan: Beliau bergelar S.H. dan Dr. Ia bekerja di PT Sinar Jaya.",EYD V - Badan Bahasa Kemendikbudristek (ejaan.kemendikdasmen.go.id)
Kapan harus pakai tanda koma sebelum kata karena?,"Bagaimana aturan koma dalam perincian? Tanda koma dipakai di antara unsur-unsur dalam suatu perincian atau pembilangan, sebelum kata penghubung seperti tetapi atau melainkan, dan di belakang anak kalimat yang mendahului induk kalimat. Tanda koma tidak dipakai jika anak kalimat mengiringi induk kalimat.","Pertanyaan: Kapan harus pakai tanda koma sebelum kata karena?
Jawaban: Bagaimana aturan koma dalam perincian? Tanda koma dipakai di antara unsur-unsur dalam suatu perincian atau pembilangan, sebelum kata penghubung seperti tetapi atau melainkan, dan di belakang anak kalimat yang mendahului induk kalimat. Tanda koma tidak dipakai jika anak kalimat mengiringi induk kalimat.
Contoh Kesalahan: Saya membeli pensil pulpen dan buku. Karena sibuk dia tidak datang. Dia tidak datang, karena sibuk.
Contoh Perbaikan: Saya membeli pensil, pulpen, dan buku. Karena sibuk, dia tidak datang. Dia tidak datang karena sibuk.",EYD V - Badan Bahasa Kemendikbudristek (ejaan.kemendikdasmen.go.id)
Apakah anak anak harus pakai tanda hubung?,"Kapan tanda hubung digunakan? Tanda hubung digunakan untuk menyambung unsur kata ulang, menyambung suku-suku kata dasar yang terpisah oleh pergantian baris, dan merangkai unsur bahasa Indonesia dengan unsur bahasa asing.","Pertanyaan: Apakah anak anak harus pakai tanda hubung?
Jawaban: Kapan tanda hubung digunakan? Tanda hubung digunakan untuk menyambung unsur kata ulang, menyambung suku-suku kata dasar yang terpisah oleh pergantian baris, dan merangkai unsur bahasa Indonesia dengan unsur bahasa asing.
Contoh Kesalahan: anak anak, di sapu, ber-evolusi
Contoh Perbaikan: anak-anak, disapu, ber-evolution (jika ditulis miring)",EYD V - Badan Bahasa Kemendikbudristek (ejaan.kemendikdasmen.go.id)
Bagaimana cara menulis kutipan langsung yang benar?,"Di mana letak tanda titik pada kutipan langsung? Tanda petik dua dipakai untuk mengapit petikan langsung dari pembicaraan, naskah, atau bahan tertulis lain. Tanda baca penutup kalimat yang mengakhiri petikan langsung diletakkan di dalam tanda petik penutup.","Pertanyaan: Bagaimana cara menulis kutipan langsung yang benar?
Jawaban: Di mana letak tanda titik pada kutipan langsung? Tanda petik dua dipakai untuk mengapit petikan langsung dari pembicaraan, naskah, atau bahan tertulis lain. Tanda baca penutup kalimat yang mengakhiri petikan langsung diletakkan di dalam tanda petik penutup.
Contoh Kesalahan: Guru berkata, kerjakan tugas ini dengan teliti.
Contoh Perbaikan: Guru berkata, \Kerjakan tugas ini dengan teliti.\",EYD V - Badan Bahasa Kemendikbudristek (ejaan.kemendikdasmen.go.id)
What is a topic sentence?,"How do I structure a paragraph in English? A good paragraph starts with a topic sentence that states the main idea, followed by supporting sentences with examples or details, and ends with a concluding sentence that wraps up the idea.","Pertanyaan: What is a topic sentence?
Jawaban: How do I structure a paragraph in English? A good paragraph starts with a topic sentence that states the main idea, followed by supporting sentences with examples or details, and ends with a concluding sentence that wraps up the idea.
Contoh Kesalahan: I like dogs. They are cute. My friend has a cat.
Contoh Perbaikan: I love dogs because they are loyal and friendly companions. They can be trained to follow commands and protect the house. Overall, dogs make wonderful pets for families.",Purdue OWL (owl.purdue.edu)
What are transition words and how do I use them?,"My sentences feel choppy, how do I connect them? Transition words such as first, however, in addition, therefore, and finally help connect ideas between sentences and paragraphs, making the writing flow more smoothly.","Pertanyaan: What are transition words and how do I use them?
Jawaban: My sentences feel choppy, how do I connect them? Transition words such as first, however, in addition, therefore, and finally help connect ideas between sentences and paragraphs, making the writing flow more smoothly.
Contoh Kesalahan: I woke up late. I missed the bus. I was late to school.
Contoh Perbaikan: First, I woke up late. As a result, I missed the bus. Therefore, I was late to school.",Purdue OWL (owl.purdue.edu)
What is the five-paragraph essay structure?,"How many paragraphs should my essay have? A standard five-paragraph essay consists of an introduction with a thesis statement, three body paragraphs each developing one supporting idea with evidence, and a conclusion that restates the thesis and summarizes the main points.","Pertanyaan: What is the five-paragraph essay structure?
Jawaban: How many paragraphs should my essay have? A standard five-paragraph essay consists of an introduction with a thesis statement, three body paragraphs each developing one supporting idea with evidence, and a conclusion that restates the thesis and summarizes the main points.",Purdue OWL (owl.purdue.edu)
What is an argumentative essay?,"How do I write a strong argument in English? An argumentative essay presents a clear claim or position on an issue, supports it with logical reasoning and evidence, addresses counterarguments, and ends with a strong conclusion reinforcing the writer s position.","Pertanyaan: What is an argumentative essay?
Jawaban: How do I write a strong argument in English? An argumentative essay presents a clear claim or position on an issue, supports it with logical reasoning and evidence, addresses counterarguments, and ends with a strong conclusion reinforcing the writer s position.",Purdue OWL (owl.purdue.edu)
What is subject-verb agreement?,"Why is she have two brothers wrong? The verb in a sentence must agree in number with its subject. A singular subject takes a singular verb, and a plural subject takes a plural verb.","Pertanyaan: What is subject-verb agreement?
Jawaban: Why is she have two brothers wrong? The verb in a sentence must agree in number with its subject. A singular subject takes a singular verb, and a plural subject takes a plural verb.
Contoh Kesalahan: She have two brothers. The students is studying.
Contoh Perbaikan: She has two brothers. The students are studying.",Purdue OWL (owl.purdue.edu)
What tense should I use for a narrative essay?,"Why is yesterday I go to the market wrong? Narrative and descriptive essays commonly use the past tense, while argumentative and expository essays often use the present tense to state general facts and the present perfect to connect past events with current relevance.","Pertanyaan: What tense should I use for a narrative essay?
Jawaban: Why is yesterday I go to the market wrong? Narrative and descriptive essays commonly use the past tense, while argumentative and expository essays often use the present tense to state general facts and the present perfect to connect past events with current relevance.
Contoh Kesalahan: Yesterday I go to the market and I buy some fruits.
Contoh Perbaikan: Yesterday I went to the market and bought some fruits.",Purdue OWL (owl.purdue.edu)
What words should I avoid in a formal essay?,"Is it okay to use gonna in an essay? Formal essays avoid contractions, slang, and casual expressions. Words like a lot, kids, and gonna should be replaced with formal alternatives such as many, children, and going to.","Pertanyaan: What words should I avoid in a formal essay?
Jawaban: Is it okay to use gonna in an essay? Formal essays avoid contractions, slang, and casual expressions. Words like a lot, kids, and gonna should be replaced with formal alternatives such as many, children, and going to.
Contoh Kesalahan: A lot of kids gonna join the event.
Contoh Perbaikan: Many children will join the event.",Purdue OWL (owl.purdue.edu)
Bagaimana cara membuat outline esai yang baik?,"Apa langkah pertama sebelum menulis esai? Sebelum menulis esai, penulis sebaiknya membuat outline atau kerangka tulisan terlebih dahulu agar gagasan tersusun secara logis dan tidak melompat-lompat. Kerangka membantu memastikan setiap paragraf memiliki satu gagasan utama yang jelas dan saling berkaitan dengan paragraf lainnya.","Pertanyaan: Bagaimana cara membuat outline esai yang baik?
Jawaban: Apa langkah pertama sebelum menulis esai? Sebelum menulis esai, penulis sebaiknya membuat outline atau kerangka tulisan terlebih dahulu agar gagasan tersusun secara logis dan tidak melompat-lompat. Kerangka membantu memastikan setiap paragraf memiliki satu gagasan utama yang jelas dan saling berkaitan dengan paragraf lainnya.",Scribbr Essay Writing Guide (scribbr.com)
Bagaimana cara merevisi esai dengan baik?,"Apakah harus langsung menulis dengan sempurna? Penulis ahli menyarankan proses menulis dilakukan secara berlapis, yaitu menulis draf kasar tanpa terlalu memikirkan tata bahasa terlebih dahulu untuk menuangkan ide, kemudian melakukan revisi pada tahap kedua untuk memperbaiki struktur dan kejelasan argumen, dan terakhir mengedit ejaan serta tanda baca.","Pertanyaan: Bagaimana cara merevisi esai dengan baik?
Jawaban: Apakah harus langsung menulis dengan sempurna? Penulis ahli menyarankan proses menulis dilakukan secara berlapis, yaitu menulis draf kasar tanpa terlalu memikirkan tata bahasa terlebih dahulu untuk menuangkan ide, kemudian melakukan revisi pada tahap kedua untuk memperbaiki struktur dan kejelasan argumen, dan terakhir mengedit ejaan serta tanda baca.",Scribbr Essay Writing Guide (scribbr.com)
Bagaimana membuat kalimat lebih efektif?,"Kenapa kalimat saya terasa bertele-tele? Kalimat yang efektif sebaiknya langsung, padat, dan tidak bertele-tele. Hindari pengulangan kata yang tidak perlu serta penggunaan kata-kata mubazir seperti adalah merupakan atau di mana yang sering dipakai berlebihan dalam tulisan siswa.","Pertanyaan: Bagaimana membuat kalimat lebih efektif?
Jawaban: Kenapa kalimat saya terasa bertele-tele? Kalimat yang efektif sebaiknya langsung, padat, dan tidak bertele-tele. Hindari pengulangan kata yang tidak perlu serta penggunaan kata-kata mubazir seperti adalah merupakan atau di mana yang sering dipakai berlebihan dalam tulisan siswa.
Contoh Kesalahan: Hal ini adalah merupakan suatu permasalahan yang di mana sering terjadi.
Contoh Perbaikan: Hal ini sering terjadi.",Scribbr Essay Writing Guide (scribbr.com)
Bagaimana membuat argumen esai lebih kuat?,"Apakah opini saja cukup untuk esai argumentatif? Argumen dalam esai akan lebih kuat jika didukung oleh data, fakta, atau contoh konkret, bukan hanya opini pribadi. Penulis disarankan mencari sumber yang relevan dan menyebutkan fakta pendukung agar pembaca lebih mudah percaya pada argumen yang disampaikan.","Pertanyaan: Bagaimana membuat argumen esai lebih kuat?
Jawaban: Apakah opini saja cukup untuk esai argumentatif? Argumen dalam esai akan lebih kuat jika didukung oleh data, fakta, atau contoh konkret, bukan hanya opini pribadi. Penulis disarankan mencari sumber yang relevan dan menyebutkan fakta pendukung agar pembaca lebih mudah percaya pada argumen yang disampaikan.",Scribbr Essay Writing Guide (scribbr.com)
Bagaimana cara mengecek apakah tulisan saya enak dibaca?,"Tips mengedit tulisan sendiri Salah satu teknik yang disarankan untuk mengecek kelancaran tulisan adalah membaca ulang esai dengan suara keras. Jika ada bagian yang terasa janggal atau sulit diucapkan saat dibaca, kemungkinan kalimat tersebut perlu diperbaiki strukturnya.","Pertanyaan: Bagaimana cara mengecek apakah tulisan saya enak dibaca?
Jawaban: Tips mengedit tulisan sendiri Salah satu teknik yang disarankan untuk mengecek kelancaran tulisan adalah membaca ulang esai dengan suara keras. Jika ada bagian yang terasa janggal atau sulit diucapkan saat dibaca, kemungkinan kalimat tersebut perlu diperbaiki strukturnya.",Scribbr Essay Writing Guide (scribbr.com)
How should I start writing an essay?,"What is brainstorming in essay writing? Writing experts recommend spending time brainstorming and outlining before writing the actual essay. This helps writers organize their thoughts, decide on the strongest arguments, and ensure each paragraph supports the thesis statement clearly.","Pertanyaan: How should I start writing an essay?
Jawaban: What is brainstorming in essay writing? Writing experts recommend spending time brainstorming and outlining before writing the actual essay. This helps writers organize their thoughts, decide on the strongest arguments, and ensure each paragraph supports the thesis statement clearly.",Purdue OWL (owl.purdue.edu)
How do I write a strong thesis statement?,What makes a thesis statement good or bad? A strong thesis statement should be specific and arguable rather than a general statement of fact. It should clearly state the writer s position and give the reader a sense of what the essay will argue.,"Pertanyaan: How do I write a strong thesis statement?
Jawaban: What makes a thesis statement good or bad? A strong thesis statement should be specific and arguable rather than a general statement of fact. It should clearly state the writer s position and give the reader a sense of what the essay will argue.
Contoh Kesalahan: This essay is about climate change.
Contoh Perbaikan: This essay argues that local governments should prioritize renewable energy investment to reduce urban carbon emissions.",Purdue OWL (owl.purdue.edu)
How can I make my English sentences more concise?,"What phrases should I avoid in essays? Experts advise avoiding wordy phrases such as due to the fact that, in order to, or at this point in time. Replacing them with concise alternatives like because, to, and now makes writing clearer and more direct.","Pertanyaan: How can I make my English sentences more concise?
Jawaban: What phrases should I avoid in essays? Experts advise avoiding wordy phrases such as due to the fact that, in order to, or at this point in time. Replacing them with concise alternatives like because, to, and now makes writing clearer and more direct.
Contoh Kesalahan: Due to the fact that it was raining, we stayed at home.
Contoh Perbaikan: Because it was raining, we stayed at home.",Purdue OWL (owl.purdue.edu)
How do I check if my essay flows well?,"Tips for editing my own essay Reading an essay aloud is a recommended technique for catching awkward phrasing, run-on sentences, and grammar errors that might be missed when reading silently.","Pertanyaan: How do I check if my essay flows well?
Jawaban: Tips for editing my own essay Reading an essay aloud is a recommended technique for catching awkward phrasing, run-on sentences, and grammar errors that might be missed when reading silently.",Purdue OWL (owl.purdue.edu)
How should I proofread my essay?,"What should I focus on when editing? Experts suggest proofreading in multiple passes, each focusing on a different aspect first for content and argument structure, second for grammar and sentence clarity, and third for spelling, punctuation, and formatting.","Pertanyaan: How should I proofread my essay?
Jawaban: What should I focus on when editing? Experts suggest proofreading in multiple passes, each focusing on a different aspect first for content and argument structure, second for grammar and sentence clarity, and third for spelling, punctuation, and formatting.",Purdue OWL (owl.purdue.edu)
Apa itu esai akademik?,"Esai akademik adalah bentuk tulisan ilmiah yang menyampaikan ide dan argumen secara terstruktur berdasarkan bukti. Memiliki 8 ciri utama menurut Stephen Bailey: (1) kompleksitas - bahasa tulis lebih kompleks daripada bahasa lisan, (2) formalitas - menghindari bahasa sehari-hari dan kata ganti orang pertama, (3) presisi - fakta dan angka disampaikan secara akurat, (4) objektivitas - berfokus pada informasi dan argumen, bukan opini pribadi, (5) eksplisitas - hubungan antar-gagasan ditandai secara jelas, (6) akurasi - penggunaan kosakata yang tepat sesuai bidang ilmu, (7) hedging - penggunaan bahasa berhati-hati untuk mengakui ketidakpastian klaim, dan (8) tanggung jawab - penulis memberikan bukti dan alasan atas klaim yang disampaikan. Sumber: Stephen Bailey, Academic Writing: A Handbook for International Students (Routledge).","Pertanyaan: Apa itu esai akademik?
Jawaban: Esai akademik adalah bentuk tulisan ilmiah yang menyampaikan ide dan argumen secara terstruktur berdasarkan bukti. Memiliki 8 ciri utama menurut Stephen Bailey: (1) kompleksitas - bahasa tulis lebih kompleks daripada bahasa lisan, (2) formalitas - menghindari bahasa sehari-hari dan kata ganti orang pertama, (3) presisi - fakta dan angka disampaikan secara akurat, (4) objektivitas - berfokus pada informasi dan argumen, bukan opini pribadi, (5) eksplisitas - hubungan antar-gagasan ditandai secara jelas, (6) akurasi - penggunaan kosakata yang tepat sesuai bidang ilmu, (7) hedging - penggunaan bahasa berhati-hati untuk mengakui ketidakpastian klaim, dan (8) tanggung jawab - penulis memberikan bukti dan alasan atas klaim yang disampaikan. Sumber: Stephen Bailey, Academic Writing: A Handbook for International Students (Routledge).",Buku Siswa Bahasa Indonesia Kurikulum Merdeka - Kemdikbud (buku.kemdikbud.go.id)
Apa saja jenis-jenis esai utama?,"Terdapat 4 jenis utama esai yang dikenal dengan istilah EDNA (Exposition, Description, Narration, Argumentation): (1) Expository - memaparkan informasi secara faktual dan objektif tanpa membangun argumen, ditulis dengan nada netral dan alur logis, (2) Descriptive - menggambarkan objek, tempat, atau pengalaman secara rinci menggunakan pancaindra, biasanya disusun berdasarkan urutan ruang atau tingkat kepentingan, (3) Narrative - menceritakan sebuah peristiwa atau pengalaman lengkap dengan tokoh, konflik, dan latar, (4) Argumentative - menyajikan klaim yang didukung bukti dan analisis untuk meyakinkan pembaca. Sumber: Purdue OWL, Expository Essays; Scribbr, The Four Main Types of Essay.","Pertanyaan: Apa saja jenis-jenis esai utama?
Jawaban: Terdapat 4 jenis utama esai yang dikenal dengan istilah EDNA (Exposition, Description, Narration, Argumentation): (1) Expository - memaparkan informasi secara faktual dan objektif tanpa membangun argumen, ditulis dengan nada netral dan alur logis, (2) Descriptive - menggambarkan objek, tempat, atau pengalaman secara rinci menggunakan pancaindra, biasanya disusun berdasarkan urutan ruang atau tingkat kepentingan, (3) Narrative - menceritakan sebuah peristiwa atau pengalaman lengkap dengan tokoh, konflik, dan latar, (4) Argumentative - menyajikan klaim yang didukung bukti dan analisis untuk meyakinkan pembaca. Sumber: Purdue OWL, Expository Essays; Scribbr, The Four Main Types of Essay.",Buku Siswa Bahasa Indonesia Kurikulum Merdeka - Kemdikbud (buku.kemdikbud.go.id)
Apa struktur dasar esai?,"Struktur esai terdiri dari 3 bagian utama: (1) Pendahuluan (Introduction) - berisi pernyataan umum dan tesis yang menjadi fokus esai, (2) Isi/Tubuh (Body) - berisi beberapa paragraf yang masing-masing mengembangkan satu gagasan pendukung tesis disertai bukti atau contoh, (3) Penutup (Conclusion) - merangkum kembali tesis dan gagasan utama tanpa menambahkan informasi baru. Sumber: Purdue OWL, Essay Writing; Buku Siswa Bahasa Indonesia Kelas X Kurikulum Merdeka, Kemdikbud.","Pertanyaan: Apa struktur dasar esai?
Jawaban: Struktur esai terdiri dari 3 bagian utama: (1) Pendahuluan (Introduction) - berisi pernyataan umum dan tesis yang menjadi fokus esai, (2) Isi/Tubuh (Body) - berisi beberapa paragraf yang masing-masing mengembangkan satu gagasan pendukung tesis disertai bukti atau contoh, (3) Penutup (Conclusion) - merangkum kembali tesis dan gagasan utama tanpa menambahkan informasi baru. Sumber: Purdue OWL, Essay Writing; Buku Siswa Bahasa Indonesia Kelas X Kurikulum Merdeka, Kemdikbud.",Buku Siswa Bahasa Indonesia Kurikulum Merdeka - Kemdikbud (buku.kemdikbud.go.id)
